task_id,task_name,Average_levenshtein_distance
294,bbc9ae5d,0.482021295
295,bc1d5164,0.386227545
296,bd4472b8,0.22820945
297,bda2d7a6,0.562893082
298,bdad9b1f,0.541479821
299,be94b721,0.329166667
300,beb8660c,0.526869159
301,c0f76784,0.142540136
302,c1d99e64,0.545597485
303,c3e719e8,0.719852105
304,c3f564a4,0.412531464
305,c444b776,0.139655122
306,c59eb873,0.623922414
307,c8cbb738,0.441589914
308,c8f0f002,0.25452393
309,c909285e,0.403691926
310,c9e6f938,0.389639639
311,c9f8e694,0.228360808
312,caa06a1f,0.55
313,cbded52d,0.408396947
314,cce03e0d,0.614864865
315,cdecee7f,0.699845679
316,ce22a75a,0.204552414
317,ce4f8723,0.112053993
318,ce602527,0.427083333
319,ce9e57f2,0.606321839
320,cf98881b,0.493335797
321,d037b0a7,0.521428572
322,d06dbe63,0.45213678
323,d07ae81c,0.518518519
324,d0f5fe59,0.517857143
325,d10ecb37,0.644430052
326,d13f3404,0.309917355
327,d22278a0,0.541958042
328,d23f8c26,0.442211949
329,d2abd087,0.603571429
330,d364b489,0.479087453
331,d406998b,0.052946128
332,d43fd935,0.466165414
333,d4469b4b,0.248608032
334,d4a91cb9,0.49025974
335,d4f3cd78,0.472405415
336,d511f180,0.280012892
337,d5d6de2d,0.332627119
338,d631b094,0.522875817
339,d687bc17,0.630890052
340,d6ad076f,0.503164557
341,d89b689b,0.574127907
342,d8c310e9,0.372340426
343,d90796e8,0.653679654
344,d9f24cd1,0.351375055
345,d9fac9be,0.449626866
346,dae9d2b5,0.631038648
347,db3e9e38,0.545454545
348,db93a21d,0.539965987
349,dbc1a6ce,0.533243749
350,dc0a314f,0.528688525
351,dc1df850,0.344597675
352,dc433765,0.496621622
353,ddf7fa4f,0.512195122
354,de1cd16c,0.407786885
355,ded97339,0.327586207
356,e179c5f4,0.626141553
357,e21d9049,0.372168285
358,e26a3af2,0.361328125
359,e3497940,0.51724138
360,e40b9e2f,0.464066628
361,e48d4e1a,0.333346054
362,e5062a87,0.498427673
363,e509e548,0.266649898
364,e50d258f,0.264398546
365,e6721834,0.315656566
366,e73095fd,0.233606558
367,e76a88a6,0.330357143
368,e8593010,0.171489273
369,e8dc4411,0.652456648
370,e9614598,0.240743105
371,e98196ab,0.292883734
372,e9afcf9a,0.692396314
373,ea32f347,0.338308458
374,ea786f4a,0.508333333
375,eb281b96,0.559152574
376,eb5a1d5d,0.28655273
377,ec883f72,0.522727273
378,ecdecbb3,0.491981132
379,ed36ccf7,0.194814525
380,ef135b50,0.557189543
381,f15e1fac,0.566887582
382,f1cefba8,0.378670766
383,f25fbde4,0.182486705
384,f25ffba3,0.400510204
385,f2829549,0.434324826
386,f35d900a,0.560623557
387,f5b8619d,0.557420495
388,f76d97a5,0.382882883
389,f8a8fe49,0.308021978
390,f8b3ba0a,0.489473684
391,f8c80d96,0.434713376
392,f8ff0b80,0.681632653
393,f9012d9b,0.544827586
394,fafffa47,0.588942308
395,fcb5c309,0.607913669
396,fcc82909,0.265140764
397,feca6190,0.700440529
398,ff28f65a,0.581164392
399,ff805c23,0.586419753
