task_id,task_name,Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other.1,Correct(1) / Wrong(0)_other.2,Correct(1) / Wrong(0)_other.3,Correct(1) / Wrong(0)_other.4
277,b27ca6d3,0,0,0,0,1
278,b2862040,1,0,1,0,1
279,b527c5c6,1,1,1,1,0
280,b548a754,0,1,1,1,1
281,b60334d2,1,1,0,1,1
282,b6afb2da,1,0,1,0,0
283,b7249182,1,1,1,1,1
284,b775ac94,1,1,0,1,1
285,b782dc8a,0,1,1,1,1
286,b8825c91,1,1,1,1,1
287,b8cdaf2b,1,0,1,0,1
288,b91ae062,1,1,1,1,1
289,b94a9452,1,1,1,1,0
290,b9b7f026,1,1,1,1,0
291,ba26e723,1,1,1,1,1
292,ba97ae07,1,1,1,1,1
293,bb43febb,1,1,1,1,0
294,bbc9ae5d,1,1,0,1,1
295,bc1d5164,1,0,0,0,1
296,bd4472b8,1,1,1,1,0
297,bda2d7a6,1,1,1,1,1
298,bdad9b1f,0,0,1,0,1
299,be94b721,0,1,1,0,0
300,beb8660c,1,0,1,0,1
301,c0f76784,1,1,1,0,1
302,c1d99e64,1,1,1,1,1
303,c3e719e8,1,1,1,1,1
304,c3f564a4,1,1,0,1,1
305,c444b776,1,0,0,0,1
306,c59eb873,0,1,1,1,1
307,c8cbb738,0,1,1,1,1
308,c8f0f002,1,0,0,0,0
309,c909285e,1,1,1,1,0
310,c9e6f938,1,1,0,1,1
311,c9f8e694,1,1,0,1,0
312,caa06a1f,1,1,1,1,1
313,cbded52d,0,1,0,1,0
314,cce03e0d,0,1,1,1,0
315,cdecee7f,1,1,0,0,0
316,ce22a75a,1,0,0,0,0
317,ce4f8723,0,1,1,1,0
318,ce602527,0,1,1,1,1
319,ce9e57f2,0,1,1,0,0
320,cf98881b,1,0,1,1,0
321,d037b0a7,1,1,1,1,0
322,d06dbe63,1,0,1,0,1
323,d07ae81c,1,1,1,1,1
324,d0f5fe59,1,1,1,1,1
325,d10ecb37,1,0,1,1,1
326,d13f3404,1,1,1,1,1
327,d22278a0,1,0,1,1,1
328,d23f8c26,1,1,1,0,0
329,d2abd087,0,1,1,1,1
330,d364b489,1,0,1,0,1
331,d406998b,1,0,0,0,1
332,d43fd935,0,1,1,1,1
333,d4469b4b,0,1,1,1,1
334,d4a91cb9,1,0,1,0,1
335,d4f3cd78,1,0,0,0,0
336,d511f180,0,1,1,1,1
337,d5d6de2d,0,1,0,1,1
338,d631b094,0,0,1,0,1
339,d687bc17,0,1,0,1,0
340,d6ad076f,1,0,1,0,1
341,d89b689b,1,0,0,0,1
342,d8c310e9,0,1,1,1,1
343,d90796e8,1,0,1,0,0
344,d9f24cd1,0,1,0,1,1
345,d9fac9be,0,1,1,1,1
346,dae9d2b5,0,0,0,0,0
347,db3e9e38,1,0,0,0,1
348,db93a21d,1,0,0,0,1
349,dbc1a6ce,1,1,1,0,0
350,dc0a314f,1,1,1,1,1
351,dc1df850,1,1,1,1,0
352,dc433765,1,1,0,1,0
353,ddf7fa4f,1,1,0,1,1
354,de1cd16c,1,1,0,1,0
355,ded97339,1,1,0,1,1
356,e179c5f4,1,0,1,1,1
357,e21d9049,1,1,0,1,1
358,e26a3af2,1,0,1,1,0
359,e3497940,1,1,1,1,0
360,e40b9e2f,0,1,1,0,1
361,e48d4e1a,1,1,0,1,0
362,e5062a87,0,0,1,0,0
363,e509e548,1,1,0,1,1
364,e50d258f,1,0,0,0,1
365,e6721834,1,1,0,1,1
366,e73095fd,0,1,1,1,1
367,e76a88a6,1,1,0,1,0
368,e8593010,0,0,0,0,1
369,e8dc4411,1,1,0,1,1
370,e9614598,0,0,1,0,0
371,e98196ab,0,0,0,0,0
372,e9afcf9a,1,1,1,1,1
373,ea32f347,0,0,1,0,0
374,ea786f4a,0,1,0,1,0
375,eb281b96,1,0,0,0,0
376,eb5a1d5d,1,0,0,0,1
377,ec883f72,0,1,1,1,0
378,ecdecbb3,0,1,0,0,1
379,ed36ccf7,0,0,0,0,1
380,ef135b50,0,0,1,1,0
381,f15e1fac,1,1,1,1,1
382,f1cefba8,0,0,1,0,0
383,f25fbde4,1,1,0,1,0
384,f25ffba3,1,0,1,0,1
385,f2829549,1,0,0,1,0
386,f35d900a,1,1,1,1,0
387,f5b8619d,1,1,1,1,0
388,f76d97a5,0,1,0,1,1
389,f8a8fe49,0,1,0,1,0
390,f8b3ba0a,0,0,0,0,1
391,f8c80d96,1,0,1,0,1
392,f8ff0b80,1,0,0,1,1
393,f9012d9b,1,1,1,1,0
394,fafffa47,1,0,0,0,1
395,fcb5c309,1,1,0,1,1
396,fcc82909,1,1,0,1,0
397,feca6190,1,1,0,0,0
398,ff28f65a,0,1,0,1,0
399,ff805c23,0,1,1,1,0
