,task_id,task_name,Correct(1) / Wrong(0),Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other
90,91,40853293,1,1,1,1,1,1
91,92,4093f84a,1,1,0,0,0,0
92,93,41e4d17e,1,1,1,1,1,1
93,94,4258a5f9,1,1,1,1,1,1
94,95,4290ef0e,1,1,1,1,1,1
95,96,42a50994,0,0,0,0,0,0
96,97,4347f46a,1,0,1,1,1,1
97,98,444801d8,1,1,1,1,1,1
98,99,445eab21,1,1,1,1,1,1
99,100,447fd412,1,1,1,1,1,1
100,101,44d8ac46,1,1,1,1,1,1
101,102,44f52bb0,1,1,1,1,1,1
102,103,4522001f,1,1,1,1,1,1
103,104,4612dd53,1,1,1,1,1,1
104,105,46442a0e,1,1,1,1,0,1
105,106,469497ad,1,1,1,1,1,1
106,107,46f33fce,0,0,0,0,0,0
107,108,47c1f68c,1,0,1,1,1,1
108,109,484b58aa,1,1,1,1,1,1
109,110,48d8fb45,1,1,1,1,1,1
110,111,4938f0c2,1,1,1,1,1,1
111,112,496994bd,1,1,1,1,1,1
112,113,49d1d64f,1,1,1,1,1,1
113,114,4be741c5,0,0,1,0,0,1
114,115,4c4377d9,0,0,0,0,0,0
115,116,4c5c2cf0,1,1,1,1,1,1
116,117,50846271,1,1,0,1,1,1
117,118,508bd3b6,1,1,1,1,1,1
118,119,50cb2852,1,1,1,1,1,1
119,120,5.12E+65,1,1,1,1,1,1
120,121,5168d44c,1,1,1,1,1,1
121,122,539a4f51,1,1,1,1,0,1
122,123,53b68214,1,1,1,1,1,1
123,124,543a7ed5,1,0,0,1,1,1
124,125,54d82841,1,1,1,1,1,1
125,126,54d9e175,1,1,1,1,1,1
126,127,5521c0d9,1,1,1,1,1,1
127,128,5582e5ca,1,1,1,1,1,1
128,129,5614dbcf,1,1,1,1,1,1
129,130,56dc2b01,1,1,1,1,1,1
130,131,56ff96f3,1,1,1,1,1,1
131,132,57aa92db,1,1,1,1,1,1
132,133,5ad4f10b,1,1,1,1,1,1
133,134,5bd6f4ac,0,0,0,0,0,0
134,135,5c0a986e,1,1,1,1,1,1
135,136,5c2c9af4,1,1,1,1,1,1
136,137,5daaa586,1,1,1,1,1,1
137,138,60b61512,1,1,1,1,1,1
138,139,6150a2bd,1,1,1,1,0,1
139,140,623ea044,1,1,1,1,1,1
140,141,62c24649,1,1,1,1,1,1
141,142,63613498,1,1,0,1,1,1
142,143,6430c8c4,1,1,1,1,1,1
143,144,6455b5f5,0,0,1,0,0,0
144,145,662c240a,1,1,1,1,1,0
145,146,67385a82,1,0,0,0,1,0
146,147,673ef223,0,0,0,0,0,0
147,148,6773b310,1,1,1,1,1,1
148,149,67a3c6ac,0,0,0,0,0,0
149,150,67a423a3,1,1,1,1,1,1
150,151,67e8384a,0,0,0,0,0,0
151,152,681b3aeb,1,1,1,1,1,1
152,153,6855a6e4,1,0,1,0,0,0
153,154,68b16354,0,0,0,0,0,0
154,155,694f12f3,0,0,0,0,0,0
155,156,6a1e5592,1,1,1,1,0,0
156,157,6aa20dc0,1,1,1,1,1,1
157,158,6b9890af,0,1,0,0,0,0
158,159,6c434453,1,1,1,1,1,1
159,160,6cdd2623,0,0,0,0,0,0
160,161,6cf79266,1,1,1,1,1,1
161,162,6d0160f0,1,1,1,1,1,1
162,163,6d0aefbc,0,0,1,1,0,1
163,164,6d58a25d,1,1,1,1,1,1
164,165,6d75e8bb,1,1,1,0,1,1
165,166,6e02f1e3,0,0,0,0,0,0
166,167,6e19193c,1,1,1,1,1,0
167,168,6e82a1ae,1,1,1,0,1,1
168,169,6ecd11f4,1,1,1,1,1,1
169,170,6f8cd79b,1,1,1,1,1,0
170,171,6fa7a44f,0,0,0,0,0,0
171,172,72322fa7,1,1,1,1,1,1
172,173,72ca375d,0,0,0,0,0,0
173,174,73251a56,1,1,1,1,1,1
174,175,7447852a,1,1,1,1,1,1
175,176,7468f01a,1,1,1,1,1,1
176,177,746b3537,1,1,1,1,1,1
177,178,74dd1130,0,0,0,0,0,0
178,179,75b8110e,0,0,0,0,0,0
179,180,760b3cac,1,1,1,0,0,1
180,181,776ffc46,0,0,0,0,0,0
181,182,77fdfe62,1,1,1,1,1,1
182,183,780d0b14,1,1,1,1,1,1
183,184,7837ac64,1,1,1,1,1,1
184,185,794b24be,1,1,1,1,1,1
185,186,7b6016b9,1,1,1,1,1,1
186,187,7b7f7511,0,0,0,0,0,0
187,188,7c008303,1,1,1,1,1,1
188,189,7ddcd7ec,1,1,1,1,1,1
189,190,7df24a62,1,1,1,1,1,1
190,191,7e0986d6,1,1,1,1,1,1
191,192,7f4411dc,1,1,1,1,1,1
192,193,7fe24cdd,1,0,0,0,1,1
193,194,80af3007,0,0,0,0,0,0
194,195,810b9b61,1,1,1,1,1,1
195,196,82819916,1,1,1,1,1,1
196,197,83302e8f,0,1,1,1,1,1
197,198,834ec97d,1,1,1,1,1,1
198,199,8403a5d5,1,1,1,1,1,1
199,200,846bdb03,1,1,0,0,0,1
200,201,855e0971,1,1,1,1,1,1
201,202,85c4e7cd,0,0,0,0,0,0
202,203,868de0fa,0,1,0,0,0,0
203,204,8731374e,0,0,1,0,1,0
204,205,88a10436,0,0,1,1,0,1
205,206,88a62173,1,0,0,0,0,0
206,207,8.90E+14,1,1,1,1,1,1
207,208,8a004b2b,1,1,1,1,1,1
208,209,8be77c9e,1,0,0,1,0,0
209,210,8d5021e8,0,0,0,0,0,0
210,211,8d510a79,1,1,1,1,1,1
211,212,8e1813be,1,1,1,1,1,1
212,213,8e5a5113,1,1,1,1,1,1
213,214,8eb1be9a,1,1,1,1,1,1
214,215,8efcae92,1,1,1,1,1,1
215,216,8f2ea7aa,1,1,1,0,0,0
216,217,90c28cc7,1,1,1,1,1,1
217,218,90f3ed37,0,1,0,1,1,0
218,219,913fb3ed,1,1,1,1,1,1
219,220,91413438,1,1,1,1,1,1
220,221,91714a58,1,1,1,1,1,1
221,222,9172f3a0,1,1,1,1,1,1
222,223,928ad970,1,1,1,1,1,1
223,224,93b581b8,0,1,1,0,1,0
224,225,941d9a10,0,1,0,0,1,0
225,226,94f9d214,1,1,1,1,1,1
226,227,952a094c,1,1,1,1,1,1
227,228,9565186b,1,1,1,1,1,1
228,229,95990924,1,1,0,0,1,1
229,230,963e52fc,1,1,1,1,1,1
230,231,97999447,1,1,1,1,1,1
231,232,97a05b5b,0,0,0,0,0,1
232,233,98cf29f8,1,1,1,1,1,1
233,234,995c5fa3,0,0,0,0,0,0
234,235,99b1bc43,1,1,1,1,1,1
235,236,99fa7670,1,1,1,1,1,1
236,237,9aec4887,1,1,1,0,1,1
237,238,9af7a82c,1,1,1,1,1,1
238,239,9d9215db,1,1,1,1,1,1
239,240,9dfd6313,0,1,1,1,1,1
240,241,9ecd008a,0,0,0,0,0,0
241,242,9edfc990,0,0,0,0,0,0
242,243,9f236235,1,1,1,1,1,1
243,244,a1570a43,0,0,0,0,0,0
244,245,a2fd1cf0,1,1,1,1,1,1
245,246,a3325580,0,0,0,0,0,0
246,247,a3df8b1e,1,1,1,1,1,1
247,248,a416b8f3,1,1,1,1,1,1
248,249,a48eeaf7,1,1,1,1,1,1
249,250,a5313dff,1,1,1,0,1,0
250,251,a5f85a15,0,0,0,0,0,0
251,252,a61ba2ce,1,1,1,0,1,1
252,253,a61f2674,1,1,1,1,1,1
253,254,a64e4611,1,1,1,1,1,1
254,255,a65b410d,1,1,1,1,1,1
255,256,a68b268e,1,0,0,1,1,0
256,257,a699fb00,1,1,1,1,1,1
257,258,a740d043,0,0,0,1,1,0
258,259,a78176bb,1,1,1,1,0,1
259,260,a79310a0,0,1,1,1,1,1
260,261,a85d4709,1,1,1,1,1,1
261,262,a87f7484,0,1,1,1,1,1
262,263,a8c38be5,1,1,1,1,1,1
263,264,a8d7556c,1,1,1,1,1,1
264,265,a9f96cdd,1,1,1,1,1,1
265,266,aabf363d,1,1,1,1,1,1
266,267,aba27056,1,1,1,1,1,1
267,268,ac0a08a4,1,1,1,1,1,0
268,269,ae3edfdc,1,1,1,1,1,1
269,270,ae4f1146,1,1,1,1,1,1
270,271,aedd82e4,1,1,1,1,1,1
271,272,af902bf9,1,0,1,1,1,0
272,273,b0c4d837,1,1,0,1,1,1
273,274,b190f7f5,0,1,0,0,0,0
274,275,b1948b0a,1,1,1,1,1,1
275,276,b230c067,1,1,1,1,1,1
276,277,b27ca6d3,1,1,1,1,1,1
277,278,b2862040,1,1,1,1,1,0
278,279,b527c5c6,0,0,0,0,0,0
279,280,b548a754,1,1,1,1,1,1
280,281,b60334d2,1,1,1,1,1,1
281,282,b6afb2da,1,1,1,1,1,1
282,283,b7249182,1,1,1,1,1,0
283,284,b775ac94,1,1,1,1,1,1
284,285,b782dc8a,1,0,1,1,1,1
285,286,b8825c91,1,1,1,1,1,1
286,287,b8cdaf2b,0,0,0,0,0,0
287,288,b91ae062,1,1,1,1,1,1
288,289,b94a9452,1,1,1,1,1,1
289,290,b9b7f026,1,1,1,1,1,1
290,291,ba26e723,1,1,1,1,1,1
291,292,ba97ae07,1,1,1,1,1,1
292,293,bb43febb,1,1,1,1,1,1
293,294,bbc9ae5d,1,1,1,0,1,1
294,295,bc1d5164,1,1,1,1,1,1
295,296,bd4472b8,1,1,1,1,1,1
296,297,bda2d7a6,0,0,0,1,0,0
297,298,bdad9b1f,1,1,1,1,1,1
298,299,be94b721,0,0,0,0,1,0
299,300,beb8660c,0,0,0,0,0,0
300,301,c0f76784,1,1,1,1,1,1
301,302,c1d99e64,1,1,0,1,0,0
302,303,c3e719e8,1,1,1,1,1,1
303,304,c3f564a4,1,0,1,1,1,1
304,305,c444b776,1,1,1,1,1,1
305,306,c59eb873,1,1,0,1,1,1
306,307,c8cbb738,1,1,1,1,1,1
307,308,c8f0f002,1,1,1,1,1,1
308,309,c909285e,1,1,1,1,1,1
309,310,c9e6f938,1,1,1,1,1,0
310,311,c9f8e694,0,1,1,1,1,1
311,312,caa06a1f,1,1,1,1,1,1
312,313,cbded52d,1,1,1,1,1,1
313,314,cce03e0d,0,0,0,0,0,0
314,315,cdecee7f,1,1,1,1,1,1
315,316,ce22a75a,1,1,1,1,1,1
316,317,ce4f8723,1,1,1,1,1,1
317,318,ce602527,1,1,1,1,1,1
318,319,ce9e57f2,1,1,1,1,1,1
319,320,cf98881b,0,0,0,0,0,0
320,321,d037b0a7,1,1,1,1,1,1
321,322,d06dbe63,0,1,1,1,0,1
322,323,d07ae81c,1,1,1,1,1,1
323,324,d0f5fe59,1,1,1,1,1,1
324,325,d10ecb37,0,0,1,0,0,0
325,326,d13f3404,1,1,1,1,1,1
326,327,d22278a0,0,0,0,0,0,0
327,328,d23f8c26,1,1,1,1,1,1
328,329,d2abd087,1,1,1,1,1,1
329,330,d364b489,1,1,1,0,1,1
330,331,d406998b,1,0,0,0,0,0
331,332,d43fd935,1,1,1,1,1,1
332,333,d4469b4b,1,1,1,1,1,1
333,334,d4a91cb9,1,1,1,1,1,1
334,335,d4f3cd78,1,1,1,1,1,1
335,336,d511f180,1,1,1,1,1,1
336,337,d5d6de2d,1,1,1,1,1,1
337,338,d631b094,1,0,1,0,1,0
338,339,d687bc17,1,1,0,0,0,0
339,340,d6ad076f,1,1,0,0,0,1
340,341,d89b689b,0,1,0,1,1,1
341,342,d8c310e9,1,0,1,1,1,1
342,343,d90796e8,1,1,1,1,1,1
343,344,d9f24cd1,0,0,0,0,0,0
344,345,d9fac9be,1,1,0,0,0,0
345,346,dae9d2b5,1,1,1,1,1,1
346,347,db3e9e38,1,1,1,1,1,1
347,348,db93a21d,1,1,1,1,1,1
348,349,dbc1a6ce,1,1,1,1,1,1
349,350,dc0a314f,0,0,0,0,0,0
350,351,dc1df850,0,0,0,1,1,1
351,352,dc433765,1,1,1,1,1,1
352,353,ddf7fa4f,1,1,1,1,1,1
353,354,de1cd16c,1,1,1,1,1,1
354,355,ded97339,0,0,0,0,0,0
355,356,e179c5f4,1,1,1,1,1,1
356,357,e21d9049,0,0,1,1,1,1
357,358,e26a3af2,1,1,1,1,0,1
358,359,e3497940,0,1,1,1,1,1
359,360,e40b9e2f,1,0,0,0,0,0
360,361,e48d4e1a,1,1,1,1,1,1
361,362,e5062a87,1,1,1,1,1,1
362,363,e509e548,1,1,1,1,1,1
363,364,e50d258f,1,1,1,1,1,1
364,365,e6721834,1,1,1,1,1,1
365,366,e73095fd,0,1,1,1,1,0
366,367,e76a88a6,1,1,1,1,1,1
367,368,e8593010,1,1,1,1,1,1
368,369,e8dc4411,1,1,1,1,1,1
369,370,e9614598,1,1,1,1,1,1
370,371,e98196ab,0,0,0,0,0,0
371,372,e9afcf9a,0,0,1,1,0,1
372,373,ea32f347,0,0,0,0,0,0
373,374,ea786f4a,1,1,1,1,1,1
374,375,eb281b96,0,1,0,0,1,0
375,376,eb5a1d5d,0,1,1,1,1,1
376,377,ec883f72,0,1,1,0,0,1
377,378,ecdecbb3,1,1,1,1,1,1
378,379,ed36ccf7,0,0,0,0,0,0
379,380,ef135b50,1,1,1,1,1,1
380,381,f15e1fac,1,1,1,1,1,1
381,382,f1cefba8,0,0,0,0,0,0
382,383,f25fbde4,1,1,1,1,1,1
383,384,f25ffba3,0,0,0,0,0,0
384,385,f2829549,1,1,1,1,1,1
385,386,f35d900a,1,1,1,1,1,1
386,387,f5b8619d,1,0,1,1,1,1
387,388,f76d97a5,1,1,1,1,1,1
388,389,f8a8fe49,1,1,1,1,1,1
389,390,f8b3ba0a,0,0,0,0,0,0
390,391,f8c80d96,1,1,1,1,1,1
391,392,f8ff0b80,1,1,1,1,1,1
392,393,f9012d9b,1,1,0,1,1,1
393,394,fafffa47,1,1,1,1,1,1
394,395,fcb5c309,0,0,0,0,0,0
395,396,fcc82909,1,1,1,1,1,1
396,397,feca6190,0,0,1,1,0,0
397,398,ff28f65a,1,1,1,1,1,1
398,399,ff805c23,0,0,0,0,1,0
