task_id,task_name,Correct(1) / Wrong(0)_other,Correct(1) / Wrong(0)_other.1,Correct(1) / Wrong(0)_other.2,Correct(1) / Wrong(0)_other.3,Correct(1) / Wrong(0)_other.4,Average_distance
67,31aa019c,1,1,1,1,1,0.474431818
68,321b1fc6,1,0,0,0,1,0.084782609
69,32597951,1,1,1,1,0,0.081361901
70,3345333e,0,1,1,1,1,0.103092784
71,3428a4f5,1,1,0,0,1,0.056124851
72,3618c87e,1,1,1,0,1,0.097095402
73,3631a71a,0,1,0,1,1,0.107167743
74,363442ee,1,1,0,1,1,0.097242525
75,36d67576,1,0,1,0,0,0.059782609
76,36fdfd69,1,1,1,1,0,0.094335865
77,3906de3d,1,1,1,1,1,0.085415591
78,39a8645d,1,0,0,1,1,0.11576912
79,39e1d7f9,1,1,0,1,0,0.082103649
80,3aa6fb7a,0,1,1,1,1,0.055404999
81,3ac3eb23,0,1,1,0,1,0.117788462
82,3af2c5a8,1,1,0,0,0,0.099086038
83,3bd67248,1,0,1,0,1,0.363157895
84,3bdb4ada,0,1,0,1,1,0.10256148
85,3befdf3e,1,1,1,1,1,0.072307027
86,3c9b0459,1,1,1,0,0,0.04842593
87,3de23699,0,0,1,0,1,0.041826018
88,3e980e27,1,1,0,1,1,0.133856637
89,3eda0437,1,0,1,0,0,0.041956099
90,3f7978a0,1,1,1,1,1,0.101941748
91,40853293,0,1,0,1,1,0.138076411
92,4093f84a,1,1,1,1,1,0.10452545
93,41e4d17e,1,0,1,0,1,0.09770115
94,4258a5f9,0,1,1,1,0,0.070182556
95,4290ef0e,1,1,1,1,1,0.231246394
96,42a50994,1,0,0,0,1,0.061941964
97,4347f46a,1,1,0,1,1,0.099337748
98,444801d8,1,1,1,1,0,0.194837026
99,445eab21,0,1,1,1,1,0.04839732
100,447fd412,0,1,1,1,0,0.240595919
101,44d8ac46,1,0,1,0,1,0.102235201
102,44f52bb0,1,0,0,0,1,0.083891563
103,4522001f,1,1,0,1,1,0.081052047
104,4612dd53,0,1,1,1,1,0.042942903
105,46442a0e,0,1,1,1,1,0.072306527
106,469497ad,1,0,1,1,0,0.260332805
107,46f33fce,1,0,1,0,0,0.315424965
108,47c1f68c,1,0,1,0,1,0.255435983
109,484b58aa,1,1,0,1,1,0.063568039
110,48d8fb45,1,0,0,1,1,0.069407721
111,4938f0c2,1,1,1,1,1,0.073960332
112,496994bd,0,1,1,1,1,0.30982906
113,49d1d64f,0,1,1,1,0,0.063782721
114,4be741c5,1,0,1,0,1,0.129562044
115,4c4377d9,0,0,1,0,1,0.127377103
116,4c5c2cf0,1,1,1,1,1,0.029605263
117,50846271,1,1,1,0,0,0.21746254
118,508bd3b6,1,1,1,1,1,0.153347993
119,50cb2852,0,1,1,1,1,0.082417177
120,5.12E+65,0,1,1,1,0,0.075567713
121,5168d44c,1,0,1,0,0,0.153360644
122,539a4f51,1,0,0,1,1,0.070135747
123,53b68214,1,1,1,1,1,0.09341671
124,543a7ed5,0,1,1,1,0,0.171506999
125,54d82841,1,1,1,1,1,0.046971533
126,54d9e175,1,0,0,0,1,0.193877903
127,5521c0d9,1,1,0,1,1,0.069686572
128,5582e5ca,0,1,1,1,0,0.223558668
129,5614dbcf,1,0,1,0,0,0.274686114
130,56dc2b01,1,0,0,0,1,0.164806626
131,56ff96f3,1,1,0,1,1,0.189935065
132,57aa92db,0,1,1,1,1,0.263291169
133,5ad4f10b,1,1,1,0,1,0.054359209
134,5bd6f4ac,1,0,1,0,1,0.100799254
135,5c0a986e,1,0,1,1,1,0.06486407
136,5c2c9af4,0,1,1,1,0,0.542854737
137,5daaa586,0,1,1,1,1,0.078183553
138,60b61512,1,0,1,0,0,0.114845939
139,6150a2bd,1,0,0,0,0,0.20039251
140,623ea044,1,1,0,1,0,0.062603628
141,62c24649,1,1,0,1,1,0.081036544
142,63613498,1,1,0,1,1,0.259655082
143,6430c8c4,1,1,0,1,0,0.166660532
144,6455b5f5,1,1,0,1,0,0.070002391
145,662c240a,0,1,0,1,0,0.160511364
146,67385a82,1,1,0,1,1,0.065325126
147,673ef223,0,0,1,0,1,0.084980237
148,6773b310,0,1,0,1,1,0.061215316
149,67a3c6ac,0,0,0,0,1,0.134406438
150,67a423a3,0,0,1,0,0,0.052164503
151,67e8384a,0,0,1,0,1,0.152931925
152,681b3aeb,0,0,1,0,1,0.132866741
153,6855a6e4,0,1,1,1,1,0.052549533
154,68b16354,0,0,1,0,1,0.21941886
155,694f12f3,1,0,0,0,1,0.083046999
156,6a1e5592,0,0,1,0,0,0.1875
157,6aa20dc0,1,1,1,1,0,0.050891535
158,6b9890af,1,0,0,0,1,0.045043128
159,6c434453,1,0,0,0,0,0.092928811
160,6cdd2623,0,1,1,1,1,0.137463692
161,6cf79266,1,1,0,1,0,0.042366293
162,6d0160f0,1,1,1,0,1,0.111977492
163,6d0aefbc,1,1,0,1,1,0.13531472
164,6d58a25d,0,1,1,1,0,0.078691791
165,6d75e8bb,1,1,1,1,0,0.089121341
166,6e02f1e3,1,0,0,0,1,0.176539007
167,6e19193c,1,1,0,1,1,0.050035852
168,6e82a1ae,0,1,1,1,1,0.08625731
169,6ecd11f4,0,1,1,1,0,0.06871345
170,6f8cd79b,1,1,1,0,0,0.133561644
171,6fa7a44f,0,0,0,0,1,0.067366579
172,72322fa7,1,1,0,1,1,0.100956402
173,72ca375d,1,0,1,0,0,0.059147425
174,73251a56,1,1,1,1,1,0.061293275
175,7447852a,1,0,0,0,0,0.119631113
176,7468f01a,0,1,1,1,0,0.066409508
177,746b3537,0,1,0,1,1,0.143367773
178,74dd1130,1,0,0,0,1,0.073912841
179,75b8110e,1,0,1,0,1,0.103185596
180,760b3cac,1,1,1,1,1,0.091284938
181,776ffc46,0,1,1,1,1,0.116698662
182,77fdfe62,1,1,1,1,0,0.127659575
183,780d0b14,1,1,1,0,1,0.075776215
184,7837ac64,1,0,1,0,1,0.103323445
185,794b24be,0,1,1,1,1,0.08428927
186,7b6016b9,1,1,1,1,0,0.090065203
187,7b7f7511,0,0,1,0,1,0.287735849
188,7c008303,0,1,0,1,0,0.178511321
189,7ddcd7ec,1,0,1,0,0,0.113647336
190,7df24a62,0,0,0,0,1,0.109794745
191,7e0986d6,1,1,0,1,1,0.179417067
192,7f4411dc,1,1,1,1,0,0.187697244
193,7fe24cdd,1,1,1,1,1,0.295739849
194,80af3007,1,1,1,1,1,0.101028979
195,810b9b61,1,1,1,1,1,0.064230953
196,82819916,0,1,1,1,1,0.115131917
197,83302e8f,1,1,1,0,1,0.11801106
198,834ec97d,1,0,1,0,1,0.181712963
199,8403a5d5,1,1,1,1,1,0.051926057
200,846bdb03,0,1,1,1,1,0.231915155
201,855e0971,1,1,0,1,1,0.149497206
202,85c4e7cd,0,0,0,0,1,0.207345971
203,868de0fa,1,1,1,1,0,0.067618845
204,8731374e,1,0,1,0,1,0.190017789
205,88a10436,1,0,0,1,0,0.119727856
206,88a62173,0,1,1,1,0,0.119252874
207,8.90E+14,1,0,0,0,1,0.023912376
208,8a004b2b,0,0,0,0,1,0.23868014
209,8be77c9e,1,1,1,1,1,0.13664231
210,8d5021e8,1,0,1,0,1,0.160447761
211,8d510a79,1,1,1,1,0,0.08652519
212,8e1813be,1,1,1,1,1,0.04990643
213,8e5a5113,1,1,0,1,1,0.150406339
214,8eb1be9a,1,1,1,1,0,0.137393573
215,8efcae92,1,1,1,1,0,0.267545586
216,8f2ea7aa,1,1,0,1,0,0.103401534
217,90c28cc7,1,1,0,1,0,0.264593647
218,90f3ed37,0,1,1,0,1,0.084144293
219,913fb3ed,0,1,0,1,1,0.149532711
220,91413438,1,0,1,0,1,0.034237005
221,91714a58,0,0,1,0,1,0.048802043
222,9172f3a0,0,1,1,1,1,0.142276255
223,928ad970,1,0,0,1,1,0.14842946
224,93b581b8,1,0,0,1,0,0.103889308
225,941d9a10,1,0,0,1,0,0.078499685
226,94f9d214,1,1,0,1,1,0.04523629
227,952a094c,0,1,1,1,0,0.068000334
228,9565186b,1,0,0,1,0,0.173920315
229,95990924,1,0,1,0,1,0.405339806
230,963e52fc,0,1,1,1,1,0.04847125
231,97999447,1,1,1,1,0,0.049028129
232,97a05b5b,0,0,1,0,1,0.038967033
233,98cf29f8,1,1,1,0,1,0.149934618
234,995c5fa3,1,0,0,0,0,0.090969106
235,99b1bc43,0,0,1,0,1,0.109953394
236,99fa7670,1,1,0,0,0,0.117419502
237,9aec4887,1,1,1,0,1,0.055981664
238,9af7a82c,1,1,0,1,0,0.118064352
239,9d9215db,0,1,0,1,0,0.222190074
240,9dfd6313,0,1,1,1,1,0.128483464
241,9ecd008a,1,1,1,0,1,0.055263158
242,9edfc990,0,0,1,0,1,0.106743847
243,9f236235,1,1,1,0,1,0.595905173
244,a1570a43,0,0,0,0,1,0.277695323
245,a2fd1cf0,0,1,0,1,0,0.060661096
246,a3325580,1,0,0,0,0,0.114639936
247,a3df8b1e,0,0,1,0,1,0.051754031
248,a416b8f3,1,1,1,1,1,0.0578808
249,a48eeaf7,1,1,1,1,1,0.108342938
250,a5313dff,1,0,0,1,0,0.072130569
251,a5f85a15,0,1,1,1,1,0.207386364
252,a61ba2ce,1,0,1,1,1,0.22783124
253,a61f2674,0,0,0,0,1,0.069275385
254,a64e4611,0,1,0,1,0,0.073267657
255,a65b410d,0,0,1,0,0,0.220908819
256,a68b268e,1,0,1,1,1,0.046694319
257,a699fb00,1,0,1,0,1,0.07778721
258,a740d043,0,1,0,1,1,0.051094891
259,a78176bb,0,0,1,0,1,0.032492225
260,a79310a0,1,0,0,0,1,0.054931836
261,a85d4709,1,0,1,1,1,0.066159119
262,a87f7484,1,1,1,0,0,0.294265922
263,a8c38be5,1,1,0,1,1,0.442842544
264,a8d7556c,0,1,1,1,1,0.044439465
265,a9f96cdd,0,1,1,0,1,0.051327332
266,aabf363d,0,0,1,0,1,0.277777778
267,aba27056,1,0,1,0,1,0.078199052
268,ac0a08a4,1,0,1,0,1,0.132354279
269,ae3edfdc,1,1,1,1,1,0.551865332
270,ae4f1146,1,1,1,1,0,0.063881402
271,aedd82e4,0,1,0,1,1,0.054955703
272,af902bf9,1,1,1,0,1,0.080908876
273,b0c4d837,0,1,0,0,0,0.221608833
274,b190f7f5,1,1,1,1,0,0.150504725
275,b1948b0a,0,0,0,0,0,0.100242775
276,b230c067,0,1,0,1,0,0.165584885
277,b27ca6d3,0,0,0,0,1,0.086157958
278,b2862040,1,0,1,0,1,0.109154929
279,b527c5c6,1,1,1,1,0,0.084335868
280,b548a754,0,1,1,1,1,0.034541317
281,b60334d2,1,1,0,1,1,0.040186323
282,b6afb2da,1,0,1,0,0,0.288825758
283,b7249182,1,1,1,1,1,0.19834328
284,b775ac94,1,1,0,1,1,0.32
285,b782dc8a,0,1,1,1,1,0.285326143
286,b8825c91,1,1,1,1,1,0.210598217
287,b8cdaf2b,1,0,1,0,1,0.070958611
288,b91ae062,1,1,1,1,1,0.04929393
289,b94a9452,1,1,1,1,0,0.276771994
290,b9b7f026,1,1,1,1,0,0.133248265
291,ba26e723,1,1,1,1,1,0.028306745
292,ba97ae07,1,1,1,1,1,0.166990292
293,bb43febb,1,1,1,1,0,0.049411167
294,bbc9ae5d,1,1,0,1,1,0.19171249
295,bc1d5164,1,0,0,0,1,0.195744517
296,bd4472b8,1,1,1,1,0,0.059602923
297,bda2d7a6,1,1,1,1,1,0.050314465
298,bdad9b1f,0,0,1,0,1,0.111322392
299,be94b721,0,1,1,0,0,0.086042351
300,beb8660c,1,0,1,0,1,0.056338028
301,c0f76784,1,1,1,0,1,0.105149371
302,c1d99e64,1,1,1,1,1,0.102622171
303,c3e719e8,1,1,1,1,1,0.146473265
304,c3f564a4,1,1,0,1,1,0.060192174
305,c444b776,1,0,0,0,1,0.07876735
306,c59eb873,0,1,1,1,1,0.103439333
307,c8cbb738,0,1,1,1,1,0.160497456
308,c8f0f002,1,0,0,0,0,0.085385043
309,c909285e,1,1,1,1,0,0.075515656
310,c9e6f938,1,1,0,1,1,0.103120978
311,c9f8e694,1,1,0,1,0,0.129887077
312,caa06a1f,1,1,1,1,1,0.120833333
313,cbded52d,0,1,0,1,0,0.188709768
314,cce03e0d,0,1,1,1,0,0.036377233
315,cdecee7f,1,1,0,0,0,0.055157864
316,ce22a75a,1,0,0,0,0,0.091282154
317,ce4f8723,0,1,1,1,0,0.02132861
318,ce602527,0,1,1,1,1,0.159226191
319,ce9e57f2,0,1,1,0,0,0.126743333
320,cf98881b,1,0,1,1,0,0.07160804
321,d037b0a7,1,1,1,1,0,0.17286397
322,d06dbe63,1,0,1,0,1,0.148233377
323,d07ae81c,1,1,1,1,1,0.094677312
324,d0f5fe59,1,1,1,1,1,0.072388304
325,d10ecb37,1,0,1,1,1,0.113569582
326,d13f3404,1,1,1,1,1,0.125846769
327,d22278a0,1,0,1,1,1,0.264960579
328,d23f8c26,1,1,1,0,0,0.049553572
329,d2abd087,0,1,1,1,1,0.04812873
330,d364b489,1,0,1,0,1,0.05965808
331,d406998b,1,0,0,0,1,0.148101171
332,d43fd935,0,1,1,1,1,0.09096933
333,d4469b4b,0,1,1,1,1,0.116042236
334,d4a91cb9,1,0,1,0,1,0.132865522
335,d4f3cd78,1,0,0,0,0,0.150745379
336,d511f180,0,1,1,1,1,0.054102178
337,d5d6de2d,0,1,0,1,1,0.11794943
338,d631b094,0,0,1,0,1,0.214728779
339,d687bc17,0,1,0,1,0,0.150239107
340,d6ad076f,1,0,1,0,1,0.147120984
341,d89b689b,1,0,0,0,1,0.040655666
342,d8c310e9,0,1,1,1,1,0.160070806
343,d90796e8,1,0,1,0,0,0.44034149
344,d9f24cd1,0,1,0,1,1,0.053156251
345,d9fac9be,0,1,1,1,1,0.070785777
346,dae9d2b5,0,0,0,0,0,0.167509798
347,db3e9e38,1,0,0,0,1,0.286561265
348,db93a21d,1,0,0,0,1,0.112085284
349,dbc1a6ce,1,1,1,0,0,0.151736229
350,dc0a314f,1,1,1,1,1,0.027073249
351,dc1df850,1,1,1,1,0,0.044177377
352,dc433765,1,1,0,1,0,0.107246656
353,ddf7fa4f,1,1,0,1,1,0.111641097
354,de1cd16c,1,1,0,1,0,0.079851393
355,ded97339,1,1,0,1,1,0.092509418
356,e179c5f4,1,0,1,1,1,0.150692841
357,e21d9049,1,1,0,1,1,0.116092691
358,e26a3af2,1,0,1,1,0,0.081295395
359,e3497940,1,1,1,1,0,0.174876847
360,e40b9e2f,0,1,1,0,1,0.364217253
361,e48d4e1a,1,1,0,1,0,0.071537842
362,e5062a87,0,0,1,0,0,0.217029638
363,e509e548,1,1,0,1,1,0.137454002
364,e50d258f,1,0,0,0,1,0.190580496
365,e6721834,1,1,0,1,1,0.162118927
366,e73095fd,0,1,1,1,1,0.073109466
367,e76a88a6,1,1,0,1,0,0.114209649
368,e8593010,0,0,0,0,1,0.175024084
369,e8dc4411,1,1,0,1,1,0.166560412
370,e9614598,0,0,1,0,0,0.042169589
371,e98196ab,0,0,0,0,0,0.174977034
372,e9afcf9a,1,1,1,1,1,0.125505758
373,ea32f347,0,0,1,0,0,0.083239653
374,ea786f4a,0,1,0,1,0,0.054670088
375,eb281b96,1,0,0,0,0,0.214668105
376,eb5a1d5d,1,0,0,0,1,0.063559322
377,ec883f72,0,1,1,1,0,0.132022783
378,ecdecbb3,0,1,0,0,1,0.341276196
379,ed36ccf7,0,0,0,0,1,0.183908046
380,ef135b50,0,0,1,1,0,0.031226054
381,f15e1fac,1,1,1,1,1,0.763513514
382,f1cefba8,0,0,1,0,0,0.212872373
383,f25fbde4,1,1,0,1,0,0.123301334
384,f25ffba3,1,0,1,0,1,0.256062425
385,f2829549,1,0,0,1,0,0.094589841
386,f35d900a,1,1,1,1,0,0.342509055
387,f5b8619d,1,1,1,1,0,0.040636042
388,f76d97a5,0,1,0,1,1,0.130630631
389,f8a8fe49,0,1,0,1,0,0.039628733
390,f8b3ba0a,0,0,0,0,1,0.177301137
391,f8c80d96,1,0,1,0,1,0.100961539
392,f8ff0b80,1,0,0,1,1,0.042991518
393,f9012d9b,1,1,1,1,0,0.042686476
394,fafffa47,1,0,0,0,1,0.201296586
395,fcb5c309,1,1,0,1,1,0.20140378
396,fcc82909,1,1,0,1,0,0.161994484
397,feca6190,1,1,0,0,0,0.364270387
398,ff28f65a,0,1,0,1,0,0.020922598
399,ff805c23,0,1,1,1,0,0.060198523
